bias2,train_kappa,train_accuracy,train_class2_precision,train_class2_recall,train_class2_f1,train_class2_predicted,train_class2_tp,train_class2_fp,train_class2_fn,val_kappa,val_accuracy,val_class2_precision,val_class2_recall,val_class2_f1,val_class2_predicted,val_class2_tp,val_class2_fp,val_class2_fn
3.15,0.47823160604520915,0.7100610970393838,0.48557088484883215,0.9915840184117882,0.6519077019740596,209403,101680,107723,863,0.5301669911274859,0.7721306736050881,0.8506892542766982,0.8672536403657297,0.8588915905089293,12042,10244,1798,1568
3.2,0.4653191660557567,0.7008249532075295,0.4771895755938309,0.9921008747549809,0.6444201624780275,213192,101733,111459,810,0.5356840407349336,0.7771610291991905,0.8490891186607582,0.8759735861835422,0.8623218601550129,12186,10347,1839,1465
3.25,0.4531378640415829,0.6919870985544446,0.46942597016852844,0.9925592190593214,0.637397803739342,216818,101780,115038,763,0.5392274824449009,0.7814975426423821,0.8465025906735751,0.8852014900101591,0.8654196325111737,12352,10456,1896,1356
3.3,0.44124912302672326,0.6832377526077529,0.462021181018758,0.9929785553377607,0.6306215917430766,220386,101823,118563,720,0.540853130545912,0.7850823937554207,0.8426302769132551,0.8939214358279716,0.8675183831080804,12531,10559,1972,1253
3.35,0.4292670956250059,0.674287960473053,0.45475240365301695,0.9935344197068546,0.6239263634609908,224034,101880,122154,663,0.5436922358079544,0.7888985255854293,0.8394546027742749,0.9017101252963088,0.869469387755102,12688,10651,2037,1161
3.4,0.4173285583859132,0.6652418500402194,0.44767007773727435,0.9940220200306213,0.6173217092174312,227690,101930,125760,613,0.5448424102393125,0.7920786354437699,0.8358475894245723,0.9100067727734508,0.8713521400778209,12860,10749,2111,1063
3.45,0.4053229698290266,0.656044754167068,0.44066133987874284,0.9944413563090606,0.610704532387888,231409,101973,129436,570,0.5427155266961446,0.7935819601040763,0.8317462755337122,0.916948865560447,0.872271885318515,13022,10831,2191,981
3.5,0.3933765931011741,0.6467617527847702,0.43381824521714724,0.9948801966004506,0.6041823361148454,235163,102018,133145,525,0.5396787240807448,0.7948540040474126,0.8275992725068202,0.9245682356925161,0.8734005118362124,13196,10921,2275,891
3.55,0.3816860933625451,0.6375568473198783,0.4272544586787239,0.9952312688335625,0.5978506340014587,238860,102054,136806,489,0.5372746490760852,0.7964151488869615,0.8236702326625271,0.9321029461564511,0.8745383057309662,13367,11010,2357,802
3.6,0.3704441395962199,0.6285654040292287,0.4210524144985399,0.9955335810342978,0.5918056783431644,242452,102085,140367,458,0.5331945475491875,0.797398091934085,0.8192086224715783,0.9394683372841178,0.8752267528984936,13546,11097,2449,715
3.65,0.35949384970905535,0.6197145333899094,0.41508705319940326,0.9957871332026564,0.5859322549362774,245999,102111,143888,432,0.5252451952528179,0.7964151488869615,0.8143013498723094,0.9448018963765662,0.8747109769957283,13705,11160,2545,652
